video_id,clip_id,text,label,label_T,label_A,label_V,annotation,mode
video_0012,01,整体的持续性可能没那么好，但不重要，至少它对整个指数的贡献作用是有，所以说我们还是非常喜欢券商的一个态势，至少让投资者看到指数层面没问题好吧。,0.6,1.0,0.6,0.4,Weak Positive,train
video_0013,01,没有用的投资打理自己的资产是一个长期的行为，很枯燥很乏味，没有意思的。,-0.6,-0.6,-0.6,0.0,Weak Negative,train
video_0014,01,啊这么一句话就是百亿级的必买。,0.6,1.0,0.0,1.0,Weak Positive,train
video_0015,01,但是确认一下是什么就是整个量还是不及。,0.0,-1.0,-1.0,-0.4,Neutral,train
video_0016,01,然后呢预期会降的比较低，比如说我就占了3%就好了，我不需要那么多，短线做完之后就撤，那么有机会我就来，没机会我就不来。,0.0,0.0,0.0,0.4,Neutral,train
video_0017,01,唉，所以说这个规模一定要做大规模做大的话，显然你的收益不能太差。,0.6,0.6,0.4,0.4,Weak Positive,train
video_0018,01,那当然不管守住守不住3300点以下不恐慌，或者说我们反向反而做一些，就是买入的这个观点不变。,1.0,1.0,0.8,1.0,Strong Positive,train
video_0019,01,调整之后你的周期品还是不敢说做空的这个不敢做，只能说继续往上看，今天就反包了这一块我觉得在预期之内，其实早上也有人问过这个周期，那我们重点还回到中字头。,-0.2,0.6,-0.6,0.6,Neutral,train
video_0020,01,包括当你的股票已经出现空方的标准信号，你还不懂你等什么等亏钱吗。,-1.0,-1.0,-1.0,0.4,Strong Negative,train
video_0021,01,所以说你就知道这个板块它是往下走的。,-0.6,-1.0,-0.8,0.0,Weak Negative,train
video_0022,01,所以说导致了这个电厂呢又很抱怨，然后其实煤炭厂也有抱怨，其实煤炭厂如果你开发出来，它不是以市场价或者相对高的价格去买，它是不赚钱的。,-0.6,-1.0,-0.6,0.0,Weak Negative,train
video_0022,02,没法去解决这个事情啊，所以说但是呢，可能做起来不好做了啊，因为政策已经给你下了一个紧箍咒，你基本上是可能不太好或者资金不敢去做的事。,-0.6,-1.0,-0.6,0.4,Weak Negative,train
video_0023,01,所以说哎也是涨得是这个非常不错啊，包括近期的这个磷对吧，其实是普及了很多啊，包括钛对吧。,0.6,1.0,0.6,0.0,Weak Positive,train
video_0024,01,它天然的不是进攻就是持续性，可能存疑，但是这个位置它的整个思路是什么，就是我抗跌了。,0.0,0.6,0.0,0.4,Neutral,train
video_0024,02,其实酒的增速是很差的，酒的增速很差，那么明年不一定能够恢复的情况之下。,-0.6,-0.6,-1.0,0.4,Weak Negative,train
video_0025,01,大家伙有没有考虑过这个问题，但我有一点我可以肯定，现在说想去抄底恒生抄底中概互联的特别少。,-0.4,-1.0,-0.6,1.0,Weak Negative,train
video_0026,01,因为新股呢它是什么就是打新资金要打新资金，很多人都有，都已经弃打了不打了。,-1.0,-1.0,-0.8,0.0,Strong Negative,train
video_0027,01,喝酒吃药喝酒吃药，就这两天的话白酒跌了，白酒跌了，医药的话也大概率会下跌。,-0.6,-1.0,-0.6,0.0,Weak Negative,train
video_0027,02,所以说房地产跌银行跌，那么一般来说白酒跌整个医药板块的话也会跌，为什么呀，因为他们两个有很强的一个就是这个价值逻辑。,-1.0,-0.6,-1.0,0.4,Strong Negative,train
video_0028,01,所以整个市场呢，我估计啊上涨的力度可能会有什么可能会比较小。,-0.6,-1.0,-0.2,0.0,Weak Negative,train
video_0029,01,那么今天在上节目之前正好是我在上节目之前指数突然涨了，所以我就跟他们说提前去开多单多单。,1.0,1.0,1.0,0.2,Strong Positive,train
video_0030,01,大的国有银行现在估值是真低啊估值真便宜。,-0.6,-0.2,-0.4,0.2,Weak Negative,train
video_0030,02,这个时候基本上就开始分红了，那么他们的分红收益率也非常高。,0.6,1.0,0.6,0.0,Weak Positive,train
video_0030,03,这个基金重仓和北上资金重仓基本上是吻合的，就那三个到四支股票。,0.4,-0.4,0.0,0.4,Weak Positive,train
video_0031,01,所以这个时候我们就应该是什么呢，应该是昨天我就讲对于涨价板块先当心一把。,-0.6,0.2,-0.8,0.0,Weak Negative,train
video_0031,02,你后边的话今天的浮亏，今天你的浮亏啊，后边的话会演成更大的一个亏损。,-0.6,-0.6,-1.0,0.4,Weak Negative,train
video_0032,01,这个稍微有点迟，因为比如说今天这个这个金属涨得比较好的是什么，像这个云铝还有神火神火也是锂。,0.4,-0.4,0.4,0.0,Weak Positive,train
video_0033,01,不多不空那还去震荡，有没有一些嗯，我们说他如果不跌的话，那无非就是什么时候涨的问题了吗，有没有一些促跌的因素在这个位置。,-0.6,-1.0,0.0,0.0,Weak Negative,train
video_0034,01,试用板块的布局去防守就是在这个当下的位置，其实我们很多时候就在谈低位低估值低位低估值还有一个问题就是要确定性比较高。,0.0,0.6,0.2,0.0,Neutral,train
video_0035,01,每天抢着要，因为如果是瘦田那活跃度很差。,-0.6,-0.2,0.2,0.4,Weak Negative,train
video_0035,02,我不在乎你会涨还是跌，我希望是你有波动啊，所以我希望的是有弹性，弹性又有什么有波动。,0.0,0.0,0.0,0.4,Neutral,train
video_0035,03,我说半年之后还可以继续玩，为什么呢，因为整个半年之后整个弹性已经放上来了。,0.6,1.0,1.0,0.4,Weak Positive,train
video_0035,04,低势看低只有在多头格局你就看多就可以了，如果是空头格局你就看空就可以了，这是我们说的原则。,0.0,0.0,0.2,0.4,Neutral,train
video_0036,01,它涨幅确实比较大，而且呢。,0.6,0.6,0.8,0.0,Weak Positive,train
video_0036,02,但是目前来看呢，好像整个半导体行业的一些，比如光刻胶也好，包括其他的一些技术也好，可能我们这边基本上还没有一些新的这个技术突破，但是股价已经突破到天上去了。,-0.6,0.6,-0.6,0.4,Weak Negative,train
video_0037,01,我还是想支持新能源汽车。,0.4,0.6,0.6,0.0,Weak Positive,train
video_0037,02,那么未来新能源汽车的话，这个趋势的话一定是大势所趋。,0.6,0.6,0.6,0.0,Weak Positive,train
video_0037,03,这个新能源汽车的这个使用的情况下，如果口碑还可以，我相信这个的话基本上没有后顾之忧了。,0.4,1.0,0.6,0.4,Weak Positive,train
video_0037,04,所以说所以说接下来的话，新能源车这个方向的话，如果真的是出现了调整还是可以看还是可以看。,0.2,1.0,1.0,0.4,Neutral,train
video_0038,01,那我们说是1.3万亿，就是我们可以积极做多的时候。,1.0,1.0,0.4,0.0,Strong Positive,train
video_0039,01,首先房地产最次的就是信贷信贷一松啊，大家都喘了一口气。,0.0,-0.2,0.0,0.4,Neutral,train
video_0040,01,市场永远是这样的，近期是什么是情绪博弈的这种风格会是比较比较为主。,0.0,0.0,0.0,1.0,Neutral,train
video_0040,02,那你那你那你没有办法要进行可以去等或者你怎么办呢，我建议你就是这个潜伏一些，军工的一些点或者半导体的点。,0.0,-0.2,-0.4,-0.2,Neutral,train
video_0040,03,但是涨起来也记得卖啊，反正就是当前的这种市场就涨起来要卖，因为都是短期资金。,0.2,0.2,0.2,0.2,Neutral,train
video_0041,01,这个时候相当于把储能做到了各村各县，我个人会认为这是一个非常宏伟的一个战略，在地球上没有人做过，这个事情我们国家率先敢做。,0.6,0.6,0.6,0.0,Weak Positive,train
video_0042,01,那么也是应对当前的这种，这个就是新能源的一个大格局之下对储能的一个需求啊，所以未来整个钠离子电池也是比较不错啊。,0.4,0.6,0.6,0.0,Weak Positive,train
video_0043,01,如果比如说跌破3575的话，我们这边是坚决的要是等他们吃起来就觉得要减仓。,-1.0,-1.0,-1.0,-0.4,Strong Negative,train
video_0044,01,如果不能的话你观察点位上来讲3650点上方到3700点区域，那个压力是比较大的。,-0.6,-1.0,-1.0,0.4,Weak Negative,train
video_0045,01,是光伏好或者坏他都好的这么一个品种。,0.2,0.4,0.4,0.4,Neutral,train
video_0046,01,这都算这个政策促进下的一个表现机会，当然技术面呢尽量都是处于低位区。,0.0,-0.2,0.0,0.0,Neutral,train
video_0046,02,我发现最近的一个检测类的公司可能在市场当中表现就比较好一点，当然不管怎么说大家还是看自己的操作节奏。,0.2,0.6,0.6,0.0,Neutral,train
video_0047,01,因为里面最强的应该算是就是这个美的的还是美的，肯定不行。,-0.6,-1.0,-0.4,0.0,Weak Negative,train
video_0048,01,一般买ETF的，往往是偏中线一些偏中线一些。,0.0,0.0,0.0,0.0,Neutral,train
video_0048,02,往往是偏中线一些偏中线一些，他不像散户散户的话为什么不买ETF呢嫌慢。,0.0,-0.6,-0.6,0.6,Neutral,train
video_0048,03,我知道很多散户朋友的话是慢钱小钱看不上，但是呢，你如果追逐快钱的话，可能背后是有风险的，可是还是有一些资金一些大体量的资金，它追求什么追求确定性。,0.0,-0.2,0.0,1.0,Neutral,train
video_0049,01,当大家都不做投资的时候，大家在干什么事情来做做博弈的事情，反正是博弈吗就没涨，然后呢规模去潜伏拉伸拉伸，怎么拉伸就兑现好吧。,0.0,-1.0,0.0,1.0,Neutral,train
video_0050,01,那么港股以前就是金融和地产撑起整个港股的天后来的话是大型的互联网的科技。,0.0,0.0,0.4,0.0,Neutral,train
video_0050,02,所以说港股现在是三条腿走路啊。,0.0,0.0,0.6,0.4,Neutral,train
video_0051,01,然后之后是胶膜加这个这个这个玻璃啊，然后呢，但是可能排在第二呢，还有什么还有比如说硅料啊之类的公司可能也适合对不对。,0.0,0.0,0.0,-0.2,Neutral,train
video_0052,01,让整个环境变得更好，如果只是这么简单的话，我觉得资本市场不会把它炒半年了。,-0.6,-0.6,0.6,-0.2,Weak Negative,train
video_0053,01,那你但是呢，这仅仅是上半场，甚至可能下半场还会很精彩。,0.0,0.6,0.6,-0.2,Neutral,train
video_0053,02,整个功率半导体的景气度还会维持。,0.0,1.0,0.6,0.0,Neutral,train
video_0054,01,所以市场呢，现在就是对于大家来讲就是场外的资金也好或者是场内的资金也好，基本上都是我在自己的能力圈里面不会瞎折腾的。,0.0,-0.6,0.2,0.6,Neutral,train
video_0054,02,业绩也不错，我们就往这方面去打。,0.6,0.6,0.6,0.0,Weak Positive,train
video_0055,01,现在呢很关键高位的，我们说右侧的比如三大的主升浪的一定是阳光光伏，他们现在是高位剧烈震荡剧烈震荡。,0.6,0.2,0.0,0.2,Weak Positive,train
video_0056,01,是这个估值合理或高估的临界点，因此只要不卖过3600或者是往上攻到4000，基本上整个市场它不是特别贵，就没有一个全面的风险。,0.6,0.6,0.2,0.0,Weak Positive,train
video_0057,01,他是一个中立的一个形态，就是他不能说这边煤炭已经结束了，那如果煤炭续强的话，周期加上这个中字头是可以起来的。,0.4,1.0,0.4,0.4,Weak Positive,train
video_0057,02,然后如果是锂电的话呢，可能在创业板。,0.0,0.0,0.0,0.0,Neutral,train
video_0057,03,然后再加上这一个消费和银行是带指数。,0.0,0.0,0.0,-0.4,Neutral,train
video_0058,01,所以说你这样这样想的话，你知道这个为什么周期不敢看空，是不敢看空而不看空，就是这个原因在这里面。,-0.2,-0.2,0.2,0.2,Neutral,train
video_0059,01,而且不会被查啊，这是关键，所以说有色和稀土这两个逻辑而有色里面强势的品种，就算你再强，他也会受到周期股的拖累。,0.2,-1.0,-0.4,-0.4,Neutral,train
video_0060,01,那我们汽车轻量化当中最近的股票都是跌创新高的。,0.6,-0.6,-0.2,0.4,Weak Positive,train
video_0060,02,那为什么讲铝讲得多呢，其实还是跟新能源车赛道有关系。,0.2,0.0,0.0,0.0,Neutral,train
video_0060,03,其实还是跟新能源车赛道有关系，你这样一问，我突然发现能还是有共性的贡献。,0.0,0.6,0.6,0.6,Neutral,train
video_0061,01,很多时候不去看我为什么不去看这个也是一个原因，如果这个点很有赚钱效应，那我肯定会去看。,0.0,0.6,-0.6,0.0,Neutral,train
video_0062,01,对吧，这个就是你一定要提前说涨了再说没有任何意义啊。,0.2,-0.6,-0.4,0.2,Neutral,train
video_0063,01,那能够给我们提供我们特别想要的帮助，基本上就是财富管理的一个方向，所以往这个方向去挑。,0.0,0.6,0.0,0.0,Neutral,train
video_0063,02,从短期上来讲有可能也能赚钱，但从长期上来讲只要耐心这个方向赚钱的概率可能会更高一点。,0.4,0.6,0.6,0.0,Weak Positive,train
video_0064,01,所以说实际上整个白酒的一个在我们的配置体系里面的话，作为一个防守的一个方向啊，就这一波指数下来能不能不跟着指数调整，我们就这样做的啊。,0.0,-0.2,0.0,0.0,Neutral,train
video_0065,01,限电还限产是吧，所以它这个业绩呢，我觉得是有保证的，短期内可能波动确实比较大啊。,0.2,0.2,0.6,0.6,Neutral,train
video_0066,01,那股市是一个比较好的选择，包括银行的理财产品也是比较好的选择。,0.6,0.6,0.6,0.0,Weak Positive,train
video_0066,02,证券也是证券行业呢，相对的他们比呢就是相对弱一点，或者说这个相对来讲跟我们股民打交道更多一点。,-0.2,-0.6,-0.6,0.6,Neutral,train
video_0067,01,我们不认为是一个大的主升，这个呢有点差距啊。,0.0,-1.0,-1.0,-0.2,Neutral,train
video_0068,01,所以我觉得个人觉得做医药行业呢，一定是偏机构属性的那种交易方式去做。,0.2,0.6,0.0,0.0,Neutral,train
video_0068,02,对于短线投资者，我个人觉得不建议去参与，比如说能不能为什么跟大家分享汽车零部件。,-1.0,-1.0,-0.6,-0.6,Strong Negative,train
video_0069,01,9月份开局叫什么，以低为美啊。,-0.2,0.2,0.2,0.6,Neutral,train
video_0070,01,就是还不知道3731要不要过来，如果绕过那券商就顶一把直接顶破往上再顶100个点，如果不让过啊，券商先撤退。,0.0,-0.2,0.0,0.6,Neutral,train
video_0070,02,所以说就是节奏节奏就是这个意思。,0.0,0.0,0.0,0.4,Neutral,train
video_0071,01,但是呢，你如果不参与，可能接下来一段时间还是新能源方向是最优质的方向。,0.6,0.6,0.6,0.0,Weak Positive,train
video_0071,02,所以导致了你会比较难受一点啊，所以说建议怎么办呢，打包新能源的一些这个ETF。,0.0,0.0,0.0,-0.2,Neutral,train
video_0071,03,去做中期的一个配置，可能是大部分投资者你能够去接受一些可能对你最优解的这么一种方式好吧。,0.2,0.6,0.6,0.0,Neutral,train
video_0072,01,我们也不阻拦，因为这个这个赛道确实会热的很热的都发烫，你就稍微少做一点亏了，你自己有应对方式就可以了，对于我们来讲。,-0.2,-0.2,-0.6,0.2,Neutral,train
video_0073,01,但是你要提前量，你如果没提前量，那你今天再去做新能源，其实说实话有点迟了。,-1.0,-0.6,-1.0,-0.2,Strong Negative,train
video_0074,01,那对于今天市场盘面呢，我感觉开盘应该一步到位了，整体的空间下跌不会很大，反而今天到位之后呢，应该是震荡探底回升为主。,1.0,1.0,1.0,-0.2,Strong Positive,train
video_0075,01,增速比较快的一个赛道，我们看了一下中国大概2019年我们人均消费大概在50美元。,0.2,0.2,0.2,-0.2,Neutral,train
video_0075,02,50美元比全球的一个平均数还低，所以呢，未来这个赛道呢，还是有什么高增长性的，另外一个人说医美医美呢，现在呢，在应该说韩国是最流行啊。,1.0,0.0,0.6,0.6,Strong Positive,train
video_0075,03,我觉得医美行业是值得关注的，这是我们说板块的整体介绍。,1.0,0.6,0.0,0.0,Strong Positive,train
video_0076,01,它它其实跌的不多啊，西藏城投还在涨的啊。,0.6,0.6,0.6,0.0,Weak Positive,train
video_0076,02,因为板块里面这个有几个就是弹性比较好的9595或者是沃顿啊。,0.2,0.6,0.6,-0.2,Neutral,train
video_0076,03,他回的比较多一点对板块产生了一定的这个影响，但是其实几个指标股刚才讲的这个其实没有跌啊。,0.2,0.6,0.0,-0.2,Neutral,train
video_0076,04,一定的这个修复，所以说我们对，而且今天其实整个锂电的一个板块不算弱啊，因为整体这个有部分的活跃品种开始逐步的一个转强。,0.6,1.0,0.6,0.0,Weak Positive,train
video_0077,01,他走行情区域里面的资金怎么想不取决于大盘，想涨就涨，想跌就跌。,0.0,0.0,0.0,0.0,Neutral,train
video_0077,02,所以说当时是很吓人的，当然你回头看那个个股都已经全部回来了，但是损失的是时间。,-0.8,-0.6,-0.6,-0.2,Strong Negative,train
video_0078,01,你得谨慎一点，我们希望在短线里面呢，肯定是强中选强的，一定要是右侧方向的。,0.2,0.6,0.0,0.0,Neutral,train
video_0079,01,所以说很多产业链上的公司也不怎么样，就整体的中国的手机销量如果有人去看的话还是下滑的。,-1.0,-0.6,-0.6,0.4,Strong Negative,train
video_0080,01,从这几年来讲，我们比较看重的可能就是磷。,0.0,0.6,0.0,0.4,Neutral,train
video_0080,02,那你也有可能会赚点钱，但对于我们来讲呢，不会建议你这样干的。,-0.6,-0.6,-0.6,0.0,Weak Negative,train
video_0081,01,再往后面看的话就是等这一波风波过去政策就重新回归，正常就是房住不炒的，逻辑依然还是坚持的，那么意味着，如果你是纯看地产的公司投入的央企是有反弹的。,0.6,0.0,0.0,-0.2,Weak Positive,train
video_0081,02,因为一旦政策宽松对他们是最大的利好，这是第1个。,1.0,0.6,0.6,0.4,Strong Positive,train
video_0081,03,但是你说后面的那种家具啊建材啊能不能受益啊，它一定能受益，那政策肯定是缓解啊。,0.4,0.6,0.0,0.4,Weak Positive,train
video_0081,04,唯一开功能出现大的变化就是提出了很多次的中字头中字的基建啊。,0.0,0.2,0.0,0.2,Neutral,train
video_0081,05,这个话我觉得应该大家应该想得清楚一点，就是我们当时给大家讲的就是地产做超跌反弹的那一波。,0.0,0.2,0.0,0.2,Neutral,train
video_0081,06,是因为我们认为3030前他不是压力位。,0.2,0.6,0.4,0.4,Neutral,train
video_0082,01,就是假期的话我们知道有4个交易日相当于是港股，这边是有看点的啊。,0.2,0.6,0.6,0.6,Neutral,train
video_0083,01,还是一个什么相对的高位，即使这样大幅波动啊，即使发哥来指点一下是吧，那也是大幅波动，但是整体的中期格局还是一个多头的状态。,0.6,0.6,0.4,0.2,Weak Positive,train
video_0083,02,板上钉钉了吗，所以整个这一块我是持续看好到三季度。,1.0,1.0,0.6,0.0,Strong Positive,train
video_0083,03,所以三季度继续看好，那至于三季度以后我们再说吧。,0.6,0.4,0.6,0.4,Weak Positive,train
video_0084,01,那目前来看这个二级市场告诉我们好像我们的内在逻辑流是对的啊。,0.6,0.6,0.0,0.6,Weak Positive,train
video_0085,01,其他的到没有什么消费板块就看白酒吧。,0.0,-0.2,0.0,0.2,Neutral,train
video_0086,01,这个第1个是那个大家之前我们首先节前的话就降到三成仓吗，降三成仓我跟你说，节前一天要观察，今天反弹了一天要观察。,-0.2,-0.6,0.0,0.0,Neutral,train
video_0086,02,走震荡就没有这种单边拉升的行情啊，所以说还是建议大家及时的调仓换股。,-0.6,-1.0,-0.6,0.4,Weak Negative,train
video_0087,01,较轻指数重个股把握结构性机会啊，就是12个字，那么轻指数呢，就刚刚刘老师已经说得很多了。,-0.4,0.0,-0.4,0.4,Weak Negative,train
video_0087,02,不然机器人这个镰刀太锋利了啊。,0.0,-0.2,-0.6,-0.2,Neutral,train
video_0087,03,不然机器人这个镰刀太锋利了啊，这是我们是第1点，第2点呢我们说市场呢从目前状态来说虽然有部分量化，但是呢量能呢，我觉得还是不错的。,1.0,0.6,0.6,-0.2,Strong Positive,train
video_0088,01,然后再接下来的话就是你是在跟你去看银行去地产涨的时候银行肯定会跟你，只能你只能去选后面跟风的。,0.0,0.6,0.0,0.8,Neutral,train
video_0088,02,那么指数他一般很少会在1:30左右开始了。,0.0,-0.2,-0.4,0.4,Neutral,train
video_0088,03,对吧，LP利率就是以类似于中国的这个存贷利率的基准，这个利率如果是利率下调的话。,0.0,-0.4,0.0,0.4,Neutral,train
video_0089,01,我们重点呢是看好的是汽车零部件这个方向，所以最近一段时间呢，我们在汽车零部件这一块呢是在充分的发掘。,0.6,0.6,1.0,0.0,Weak Positive,train
video_0089,02,那么可惜的，是啊，最近一段时间零部件表现也很不错。,1.0,0.6,1.0,0.0,Strong Positive,train
video_0090,01,这个背景出现来了之后，必将有一批成品成本敏感型的行业率先反弹，我们认为这是节后，目前来看非常明确的一个方向。,0.6,1.0,0.4,0.0,Weak Positive,train
video_0090,02,所以说我们在盘中给大家说分批入场。,0.4,0.0,0.4,0.0,Weak Positive,train
video_0091,01,大基金管理公司也就是他们的利润是比较厚的，那么财富管理业务对他来说是一个很大的一个利润增长点，而且未来整个一个居民都是什么储蓄搬家。,0.6,0.6,0.6,0.6,Weak Positive,train
video_0092,01,一个是军工加上锂电啊这样两个题材来推动它股价上涨，或者说它的产品又在哪呢，直接用在消费电子上。,0.6,1.0,0.0,0.2,Weak Positive,train
video_0093,01,所以我们投资嘛肯定要承担一定的不确定承担一定的波动，最终获得一定的收益。,0.0,0.6,0.0,0.2,Neutral,train
video_0094,01,然后抄白酒就有学员劝他说，你看看白酒跌成这样了你还抄，我这个时候站出来，我说你这个想法是对的，为什么呢，首先你是站在了少数人的思维是吧。,-0.2,0.2,0.6,1.0,Neutral,train
video_0095,01,但是进了这个准入门槛之后，可以说这个工具是对于合格投资人来说最好的杠杆。,0.6,0.6,0.6,0.0,Weak Positive,train
video_0096,01,我们暂时就不碰了，我们要挑的话也会挑后排的。,-0.2,-0.6,-0.6,0.0,Neutral,train
video_0097,01,伦敦的期货还是在开盘期货的话涨与跌，你说这个7天的话会有变数吗，真的会有变数的。,-0.4,-0.2,-0.6,1.0,Weak Negative,train
video_0097,02,啊，所以说今天的话这个周期板块的下跌也也是为了规避这种不确定性啊。,-0.2,-0.6,0.6,0.6,Neutral,train
video_0098,01,前两天我一直给大家讲看中证500看中了1000，实际上中证200也不错。,0.6,0.6,0.6,0.4,Weak Positive,train
video_0099,01,高位的业绩难以支撑的一些高价股走的比较拉跨。,-0.4,-1.0,-0.2,0.0,Weak Negative,train
video_0099,02,要调整的比较多一些啊，那其实主板我觉得回撤的空间不大啊，我觉得还是3500的上方。,0.6,-0.6,-0.6,0.0,Weak Positive,train
video_0099,03,所以我觉得应该是足够的应对啊，对今天的这个行情啊。,0.2,0.6,0.2,0.0,Neutral,train
video_0100,01,就是白酒的话，它属于有温度的有弹性的基金重仓品种啊。,0.0,0.4,0.6,-0.2,Neutral,train
video_0100,02,所以说也是刺激了短期白酒的一个一个异动，那么其实白酒的话马上到了消费的旺季，冬季的话，尤其临近春节的话是消费的旺季，所以说也有这样的一层含义啊，嗯好。,0.4,0.6,0.6,0.0,Weak Positive,train
video_0101,01,你在错误的赛道你买啥都是错的。,-0.4,-0.6,-0.6,0.2,Weak Negative,train
video_0102,01,这是两极分化比较严重的一年。,-0.6,-0.6,-0.2,0.0,Weak Negative,train
video_0102,02,位置不错，有信号去买进总体来讲，赚钱效应还是比较强的。,0.6,0.6,0.6,0.0,Weak Positive,train
video_0102,03,你总仓控制一下个股呢，你心里面清楚，万一他有回档。,0.0,-0.2,-0.6,0.0,Neutral,train
video_0102,04,有一半的股票都没有涨过，甚至还是跌的。,-0.4,-0.6,-0.6,0.0,Weak Negative,train
video_0102,05,那你这个地方要剔除那些垃圾的品种。,-0.4,-0.6,-0.6,0.0,Weak Negative,train
video_0102,06,剔除总是不涨的品种，你要跟随市场的信号来进行与市场共舞，然后把节奏感把握好就可以了。,0.0,0.2,0.6,-0.2,Neutral,train
video_0103,01,我给他说过半导体的话跌的时间和周期都没有到位，跌的空间和时间周期都没有到位，另外的话他们的业绩也不是说像周期股那么亮一点。,-0.6,-0.6,-0.6,0.0,Weak Negative,train
video_0104,01,它相对差很多，那对于黄金来讲呢，如果从期货我们来看一看期货品种上来讲，它也是两次探底达到1700以下以后，目前反弹有反弹的。,-0.4,0.4,-0.6,0.0,Weak Negative,train
video_0104,02,你也不能期待太高，我们讲那个品种呢，它有有有一点点其它的这个概念在里面，它里面生产的一些小金属。,0.0,-0.4,-1.0,0.0,Neutral,train
video_0105,01,那么短期你就看这个区间整理就行了啊，这是我们说的指数层面。,0.2,-0.2,0.6,-0.2,Neutral,train
video_0105,02,那么也就是说短期上涨的比较难，就是这么一个纠结。,0.0,-0.6,-1.0,-0.2,Neutral,train
video_0106,01,但是你说ETF基金这个主题基金长期看多可以吗，这个的话没有任何的问题。,0.6,0.6,0.6,0.0,Weak Positive,train
video_0107,01,我觉得假期这个事给大家讲一讲，嗯，可以回顾一下近几年，其实每一次到假期他总是一个变盘的时间点。,0.0,0.0,0.2,0.0,Neutral,train
video_0108,01,紧俏非常高的一个景气度的一个行业，或者是细分依旧还是比较看好的。,0.8,1.0,0.6,-0.2,Strong Positive,train
video_0108,02,他的一个什么多头的一个方向还是依旧看涨，那短期我们看到上周以来呢，确实周期板块的跌幅比较大。,0.2,-0.2,-0.6,-0.2,Neutral,train
video_0109,01,就是不要太过于关注指数依然区间整理。,0.0,-0.6,0.2,0.0,Neutral,train
video_0109,02,比如说凤还巢的那个涨停基因出现，或者说缺口信号啊或者一些标志性的多方信号出现再进行跟随，可能赚钱概率更高一些。,0.6,1.0,0.6,0.0,Weak Positive,train
video_0110,01,明天周期板块有望迎来反弹了。,1.0,1.0,1.0,0.6,Strong Positive,train
video_0110,02,为什么呢，因为今天盘面上有几个特点啊，第一今天依旧有50家跌停板。,-0.4,-0.4,0.2,0.4,Weak Negative,train
video_0111,01,现在还能够集体涨停吗，几乎不可能，为什么有40家券商了。,-1.0,-0.6,-0.6,0.0,Strong Negative,train
video_0111,02,说明你的整个的操作体系还不够成熟啊，今天的话早晨盘面上就是非常典型的券商，拉了一波很快就回落。,0.0,-0.6,-0.6,-0.2,Neutral,train
video_0112,01,用他的话是医药，医药里边包括创新药，包括医疗器械，包括医疗服务啊这些，第3个的话其实就是新能源。,0.0,0.0,0.0,0.2,Neutral,train
video_0112,02,新能源的话仓位的话占比已经甚至超过了医药超过了消费，那么第4块的话就是部分的科技。,0.0,0.6,0.6,0.0,Neutral,train
